idx,xunet_prob_stego,srnet_prob_stego,xunet_detected,srnet_detected,detected_any,secret_psnr_y,ber_secret,mask_mean,alpha
159,0.54541015625,0.416259765625,1,0,1,28.41035842895508,0.0460306815803051,0.72216796875,0.0596151202917099
160,0.401123046875,0.3046875,0,0,0,31.05226325988769,0.0331624373793602,0.71875,0.0596151202917099
161,0.373291015625,0.265869140625,0,0,0,31.887840270996094,0.0280914306640625,0.72021484375,0.0596151202917099
162,0.449462890625,0.23779296875,0,0,0,29.63873672485352,0.0320638045668602,0.71826171875,0.0596151202917099
163,0.439697265625,0.1668701171875,0,0,0,32.51042556762695,0.0316365584731102,0.720703125,0.0596151202917099
164,0.432373046875,0.3857421875,0,0,0,30.81468772888184,0.0125885009765625,0.71923828125,0.0596151202917099
165,0.455078125,0.29248046875,0,0,0,29.63898468017578,0.0363718681037426,0.720703125,0.0596151202917099
166,0.368896484375,0.265380859375,0,0,0,33.39373779296875,0.023396810516715,0.7197265625,0.0596151202917099
167,0.478759765625,0.28369140625,0,0,0,32.72615432739258,0.015101115219295,0.72021484375,0.0596151202917099
168,0.383056640625,0.300048828125,0,0,0,33.64582824707031,0.022216796875,0.7197265625,0.0596151202917099
169,0.388427734375,0.240966796875,0,0,0,30.560020446777344,0.0347544364631176,0.72021484375,0.0596151202917099
170,0.453369140625,0.36328125,0,0,0,30.252033233642575,0.047698974609375,0.71826171875,0.0596151202917099
171,0.424560546875,0.331298828125,0,0,0,33.888275146484375,0.0362040214240551,0.71923828125,0.0596151202917099
172,0.4677734375,0.35498046875,0,0,0,30.489988327026367,0.018941244110465,0.71923828125,0.0596151202917099
173,0.432373046875,0.3583984375,0,0,0,33.81340408325195,0.0393422469496727,0.7197265625,0.0596151202917099
174,0.351318359375,0.272705078125,0,0,0,35.462135314941406,0.0035502116661518,0.72021484375,0.0596151202917099
175,0.4072265625,0.2467041015625,0,0,0,23.16932487487793,0.0799814909696579,0.72314453125,0.0596151202917099
176,0.315673828125,0.31591796875,0,0,0,31.248279571533203,0.0519968681037426,0.7197265625,0.0596151202917099
177,0.55322265625,0.64599609375,1,1,1,26.64220428466797,0.046295166015625,0.72021484375,0.0596151202917099
178,0.30029296875,0.29248046875,0,0,0,31.881824493408203,0.038726806640625,0.720703125,0.0596151202917099
179,0.43603515625,0.262939453125,0,0,0,34.755218505859375,0.0351765975356102,0.71923828125,0.0596151202917099
180,0.43017578125,0.43115234375,0,0,0,31.713741302490234,0.0171305350959301,0.72021484375,0.0596151202917099
181,0.397705078125,0.35595703125,0,0,0,30.72666549682617,0.034027099609375,0.720703125,0.0596151202917099
182,0.44775390625,0.30810546875,0,0,0,30.808124542236328,0.029998779296875,0.720703125,0.0596151202917099
183,0.2333984375,0.350341796875,0,0,0,29.935800552368164,0.0228118896484375,0.71533203125,0.0596151202917099
184,0.476318359375,0.2337646484375,0,0,0,34.79661178588867,0.014801025390625,0.71875,0.0596151202917099
185,0.2822265625,0.275634765625,0,0,0,34.516204833984375,0.023284912109375,0.7197265625,0.0596151202917099
186,0.406005859375,0.314697265625,0,0,0,28.42010498046875,0.0507558211684227,0.7197265625,0.0596151202917099
187,0.3623046875,0.26416015625,0,0,0,29.346057891845703,0.0525309257209301,0.72021484375,0.0596151202917099
188,0.43896484375,0.295654296875,0,0,0,26.57545280456543,0.050537109375,0.7197265625,0.0596151202917099
189,0.30078125,0.322265625,0,0,0,34.16095352172852,0.0424448661506176,0.7177734375,0.0596151202917099
190,0.365478515625,0.27880859375,0,0,0,32.61491775512695,0.0092926025390625,0.72021484375,0.0596151202917099
191,0.2037353515625,0.371337890625,0,0,0,31.78057098388672,0.0504557304084301,0.72216796875,0.0596151202917099
192,0.37744140625,0.29736328125,0,0,0,30.895999908447266,0.0181223563849926,0.71923828125,0.0596151202917099
193,0.445068359375,0.329345703125,0,0,0,32.19131088256836,0.0170745849609375,0.71923828125,0.0596151202917099
194,0.435302734375,0.26806640625,0,0,0,30.964509963989254,0.0430959090590477,0.7197265625,0.0596151202917099
195,0.30029296875,0.33349609375,0,0,0,27.308574676513672,0.0269419364631176,0.72021484375,0.0596151202917099
196,0.38818359375,0.2890625,0,0,0,31.187965393066406,0.0217132568359375,0.7197265625,0.0596151202917099
197,0.470703125,0.390869140625,0,0,0,31.020618438720703,0.0531260184943676,0.7197265625,0.0596151202917099
198,0.453857421875,0.3232421875,0,0,0,33.882904052734375,0.0227813720703125,0.7197265625,0.0596151202917099
199,0.5380859375,0.401611328125,1,0,1,29.426795959472656,0.0293070487678051,0.7216796875,0.0596151202917099
200,0.43017578125,0.2386474609375,0,0,0,31.85347557067871,0.0250244140625,0.7177734375,0.0596151202917099
201,0.475830078125,0.273193359375,0,0,0,29.368328094482425,0.0314127616584301,0.71875,0.0596151202917099
202,0.450439453125,0.436279296875,0,0,0,31.544662475585938,0.022298177704215,0.72021484375,0.0596151202917099
203,0.377685546875,0.305908203125,0,0,0,33.58427047729492,0.0212758388370275,0.71875,0.0596151202917099
204,0.2880859375,0.327880859375,0,0,0,32.61758041381836,0.0237477626651525,0.72216796875,0.0596151202917099
205,0.51513671875,0.266357421875,1,0,1,34.9932975769043,0.0213165283203125,0.71875,0.0596151202917099
206,0.384765625,0.343994140625,0,0,0,29.474925994873047,0.0364532470703125,0.71826171875,0.0596151202917099
207,0.25732421875,0.244873046875,0,0,0,30.24838256835937,0.0368804931640625,0.72265625,0.0596151202917099
208,0.406982421875,0.36376953125,0,0,0,31.967220306396484,0.030049642547965,0.720703125,0.0596151202917099
209,0.43408203125,0.2734375,0,0,0,28.001863479614254,0.0494130477309227,0.720703125,0.0596151202917099
210,0.33935546875,0.247802734375,0,0,0,29.927330017089844,0.0311686210334301,0.71826171875,0.0596151202917099
211,0.473388671875,0.2265625,0,0,0,33.86878204345703,0.0323384627699852,0.7177734375,0.0596151202917099
212,0.41357421875,0.2958984375,0,0,0,33.53208541870117,0.030303955078125,0.72119140625,0.0596151202917099
213,0.419921875,0.355712890625,0,0,0,32.87227249145508,0.0352732352912426,0.71875,0.0596151202917099
214,0.29296875,0.257568359375,0,0,0,29.483015060424805,0.0696004256606102,0.71923828125,0.0596151202917099
215,0.346435546875,0.343994140625,0,0,0,31.110424041748047,0.0860188826918602,0.720703125,0.0596151202917099
216,0.41015625,0.262939453125,0,0,0,30.885948181152344,0.0209604911506176,0.71826171875,0.0596151202917099
217,0.45263671875,0.2269287109375,0,0,0,29.94856834411621,0.0493977889418602,0.71826171875,0.0596151202917099
218,0.423828125,0.318603515625,0,0,0,36.114070892333984,0.0501810722053051,0.720703125,0.0596151202917099
219,0.501953125,0.31103515625,1,0,1,31.267009735107425,0.0200653076171875,0.71923828125,0.0596151202917099
220,0.45458984375,0.311279296875,0,0,0,29.860435485839844,0.0107574462890625,0.7177734375,0.0596151202917099
221,0.35888671875,0.3486328125,0,0,0,33.2789192199707,0.0053558349609375,0.71923828125,0.0596151202917099
222,0.513671875,0.316650390625,1,0,1,31.66000747680664,0.019734701141715,0.7197265625,0.0596151202917099
223,0.45361328125,0.423095703125,0,0,0,28.103073120117188,0.0417683944106102,0.71923828125,0.0596151202917099
224,0.283447265625,0.29541015625,0,0,0,32.79336166381836,0.0347340926527977,0.71923828125,0.0596151202917099
225,0.430419921875,0.304443359375,0,0,0,32.97465896606445,0.0116729736328125,0.7197265625,0.0596151202917099
226,0.263916015625,0.267822265625,0,0,0,31.13702774047852,0.0549570731818676,0.71875,0.0596151202917099
227,0.395751953125,0.2734375,0,0,0,30.055400848388672,0.07415771484375,0.7177734375,0.0596151202917099
228,0.51025390625,0.3291015625,1,0,1,35.978614807128906,0.0307973232120275,0.71923828125,0.0596151202917099
229,0.419921875,0.330810546875,0,0,0,31.77407455444336,0.0487518310546875,0.71826171875,0.0596151202917099
230,0.447998046875,0.309814453125,0,0,0,28.584062576293945,0.0328013114631176,0.72216796875,0.0596151202917099
231,0.41064453125,0.2998046875,0,0,0,30.72316169738769,0.0285288505256176,0.720703125,0.0596151202917099
232,0.38818359375,0.3818359375,0,0,0,25.94713020324707,0.0781758651137352,0.72021484375,0.0596151202917099
233,0.3896484375,0.29296875,0,0,0,33.37385940551758,0.01824951171875,0.7197265625,0.0596151202917099
234,0.42724609375,0.295166015625,0,0,0,28.496753692626957,0.0538584403693676,0.720703125,0.0596151202917099
235,0.466064453125,0.279541015625,0,0,0,32.52812576293945,0.0041656494140625,0.72314453125,0.0596151202917099
236,0.398193359375,0.2310791015625,0,0,0,32.852500915527344,0.0175526943057775,0.72119140625,0.0596151202917099
237,0.430419921875,0.303955078125,0,0,0,29.51976585388184,0.0402272567152977,0.7197265625,0.0596151202917099
238,0.34228515625,0.29296875,0,0,0,31.900554656982425,0.0313669852912426,0.72119140625,0.0596151202917099
239,0.494384765625,0.3671875,0,0,0,32.506744384765625,0.0183512382209301,0.72265625,0.0596151202917099
240,0.351318359375,0.265380859375,0,0,0,35.33738327026367,0.0188090018928051,0.72021484375,0.0596151202917099
241,0.46044921875,0.2890625,0,0,0,29.22633171081543,0.0512949638068676,0.71875,0.0596151202917099
242,0.419189453125,0.273681640625,0,0,0,32.122108459472656,0.1162974089384079,0.71923828125,0.0596151202917099
243,0.48828125,0.406005859375,0,0,0,32.11316680908203,0.0277557373046875,0.71875,0.0596151202917099
244,0.460205078125,0.2413330078125,0,0,0,32.652679443359375,0.0303700771182775,0.71826171875,0.0596151202917099
245,0.396240234375,0.304443359375,0,0,0,35.213226318359375,0.01171875,0.7197265625,0.0596151202917099
246,0.45166015625,0.318603515625,0,0,0,26.651615142822266,0.0614267997443676,0.71875,0.0596151202917099
247,0.473388671875,0.51953125,0,1,1,29.23483085632324,0.0532989501953125,0.720703125,0.0596151202917099
248,0.439453125,0.336669921875,0,0,0,33.29049301147461,0.021443685516715,0.71875,0.0596151202917099
249,0.280517578125,0.298095703125,0,0,0,31.095993041992188,0.0140533447265625,0.72119140625,0.0596151202917099
250,0.53271484375,0.37353515625,1,0,1,26.1715087890625,0.078826904296875,0.71875,0.0596151202917099
251,0.429443359375,0.310302734375,0,0,0,31.778993606567383,0.0192820243537426,0.72119140625,0.0596151202917099
252,0.429443359375,0.263427734375,0,0,0,31.38936996459961,0.0203653983771801,0.71875,0.0596151202917099
