idx,cover_path,secret_path,mean_abs_stego_minus_cover,max_abs_stego_minus_cover,alpha
870,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000870_000000557272.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000870_000000253485.jpg,0.002310567069798708,0.04404523968696594,0.059643033891916275
871,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000871_000000222594.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000871_000000511485.jpg,0.0018204422667622566,0.050569936633110046,0.059643033891916275
872,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000872_000000387429.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000872_000000106935.jpg,0.0028925067745149136,0.04957250878214836,0.059643033891916275
873,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000873_000000392624.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000873_000000010733.jpg,0.0025439138989895582,0.04920770227909088,0.059643033891916275
874,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000874_000000160691.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000874_000000527342.jpg,0.0016091045690700412,0.026742935180664062,0.059643033891916275
875,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000875_000000032044.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000875_000000239558.jpg,0.0013465923257172108,0.03189992904663086,0.059643033891916275
876,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000876_000000094000.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000876_000000504065.jpg,0.0023434413596987724,0.049652889370918274,0.059643033891916275
877,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000877_000000093434.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000877_000000445214.jpg,0.0023767296224832535,0.03247913718223572,0.059643033891916275
878,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000878_000000091326.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000878_000000568179.jpg,0.0022446420043706894,0.04135669767856598,0.059643033891916275
879,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000879_000000308760.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000879_000000363652.jpg,0.0057490523904562,0.05910336226224899,0.059643033891916275
880,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000880_000000201405.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000880_000000366517.jpg,0.002423112280666828,0.0390343964099884,0.059643033891916275
881,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000881_000000316801.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000881_000000059335.jpg,0.0011771682184189558,0.03300882875919342,0.059643033891916275
882,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000882_000000547790.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000882_000000568927.jpg,0.0011852257885038853,0.028240978717803955,0.059643033891916275
883,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000883_000000241565.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000883_000000402271.jpg,0.0018412952776998281,0.02890072762966156,0.059643033891916275
884,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000884_000000111241.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000884_000000149469.jpg,0.001581249525770545,0.03835006803274155,0.059643033891916275
885,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000885_000000026762.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000885_000000142665.jpg,0.003347728168591857,0.051356472074985504,0.059643033891916275
886,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000886_000000463044.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000886_000000102469.jpg,0.0036208643577992916,0.038682758808135986,0.059643033891916275
887,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000887_000000278457.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000887_000000043806.jpg,0.0021104752086102962,0.044393520802259445,0.059643033891916275
888,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000888_000000488404.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000888_000000084218.jpg,0.0014258860610425472,0.02709329128265381,0.059643033891916275
889,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000889_000000004278.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000889_000000469492.jpg,0.002355225384235382,0.037184715270996094,0.059643033891916275
890,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000890_000000175000.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000890_000000484721.jpg,0.002304364927113056,0.04859468340873718,0.059643033891916275
891,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000891_000000136217.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000891_000000129689.jpg,0.0020354916341602802,0.039490848779678345,0.059643033891916275
892,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000892_000000161242.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000892_000000209147.jpg,0.0017826980911195278,0.04807347059249878,0.059643033891916275
893,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000893_000000386875.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000893_000000345972.jpg,0.001511560520157218,0.039265573024749756,0.059643033891916275
894,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000894_000000143891.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000894_000000380315.jpg,0.003950472921133041,0.05112756788730621,0.059643033891916275
895,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000895_000000552253.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000895_000000556560.jpg,0.0013837465085089207,0.031960099935531616,0.059643033891916275
896,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000896_000000483690.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000896_000000408049.jpg,0.002208457328379154,0.04200813174247742,0.059643033891916275
897,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000897_000000305393.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000897_000000557508.jpg,0.0023330384865403175,0.035399407148361206,0.059643033891916275
898,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000898_000000456070.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000898_000000249969.jpg,0.0018247629050165415,0.03022328019142151,0.059643033891916275
899,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000899_000000498969.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000899_000000513743.jpg,0.004647932946681976,0.047461941838264465,0.059643033891916275
900,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000900_000000542559.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000900_000000534564.jpg,0.004026374779641628,0.043701618909835815,0.059643033891916275
901,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000901_000000168686.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000901_000000234633.jpg,0.0027738604694604874,0.051291778683662415,0.059643033891916275
902,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/covers/000902_000000244421.jpg,/content/gdrive/MyDrive/stego_cnn_project/coco_20k_stego_pairs/test/secrets/000902_000000131007.jpg,0.0025333368685096502,0.04127258062362671,0.059643033891916275
